Id,course_title,rating,num_subscribers,level,language,category,plataforma
kotlin-for-java-developers,Kotlin for Java Developers,4.6,37000.0,,,,Coursera
multivariate-calculus-machine-learning,Mathematics for Machine Learning: Multivariate Calculus,4.6,51000.0,,,,Coursera
addiction-and-the-brain,The Addicted Brain,4.5,130000.0,,,,Coursera
aprendiendo-programar-python,Introducción a la programación en Python I: Aprendiendo a programar con Python,4.2,100000.0,Beginner,,,Coursera
data-lakes-data-warehouses-gcp,Modernizing Data Lakes and Data Warehouses with GCP,4.6,91000.0,,,,Coursera
drug-discovery,Drug Discovery,4.6,39000.0,,,,Coursera
nutrition-pregnancy,Nutrition and Lifestyle in Pregnancy,4.8,35000.0,Intermediate,,,Coursera
finance-healthcare-managers,Financial Acumen for Non-Financial Managers,4.3,10000.0,,,,Coursera
python-statistics-financial-analysis,Python and Statistics for Financial Analysis,4.3,41000.0,,,,Coursera
bugs-101,Bugs 101: Insect-Human Interactions,5.0,15000.0,Beginner,,,Coursera
autodesk-revit-architectural-design,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,4.7,97000.0,,,,Coursera
leading-for-equity-diversity-inclusion,"Leading for Equity, Diversity and Inclusion in Higher Education",4.7,59000.0,,,,Coursera
marketing-plan,Digital Media and Marketing Strategies,,57000.0,,,,Coursera
enterprise-architecture,Enterprise Architecture,4.5,24000.0,,,,Coursera
wharton-introduction-spreadsheets-models,Introduction to Spreadsheets and Models,3.6,76000.0,,,,Coursera
human-needs,The Arts and Science of Relationships: Understanding Human Needs,4.4,73000.0,Beginner,,,Coursera
clinicalsimulations,Essentials in Clinical Simulations Across the Health Professions,4.8,41000.0,Intermediate,,,Coursera
schedule-projects,Budgeting and Scheduling Projects,4.7,84000.0,,English,Leadership and Management,Coursera
machine-learning-business-professionals,Machine Learning for Business Professionals,4.6,58000.0,,,,Coursera
spanish-vocabulary-meeting-people,Spanish Vocabulary: Meeting People,4.5,71000.0,,,,Coursera
public-policy,Public Policy Challenges of the 21st Century,4.6,52000.0,,,,Coursera
arbitration-international-disputes,International Law in Action: the Arbitration of International Disputes,4.9,19000.0,All,,,Coursera
infrastructure-investing,Financing and Investing in Infrastructure,4.8,24000.0,All,,,Coursera
global-environmental-management,Global Environmental Management,4.7,22000.0,Intermediate,,,Coursera
wharton-operations-analytics,Operations Analytics,4.7,80000.0,,,,Coursera
entrepreneurship-strategy,Entrepreneurship Strategy: From Ideation to Exit,1.0,20000.0,,,,Coursera
fintechlawandpolicy,FinTech Law and Policy,4.8,97000.0,,,,Coursera
mental-health,The Social Context of Mental Health and Illness,4.6,19000.0,All,,,Coursera
contemporary-art,What Is Contemporary Art?,4.8,120000.0,,,,Coursera
producing-music,The Art of Music Production,4.8,47000.0,,,,Coursera
biohacking-your-brains-health,Biohacking Your Brain's Health,4.7,35000.0,,,,Coursera
bayesian-statistics,Bayesian Statistics: From Concept to Data Analysis,4.4,91000.0,,,,Coursera
reporting-extra-financier-strategie-rse,Reporting extra-financier et stratégie RSE,4.6,52000.0,,,,Coursera
quality-healthcare,Leading Healthcare Quality and Safety,4.8,16000.0,Beginner,,,Coursera
excel-para-negocios,Fundamentos de Excel para Negocios,4.8,150000.0,Beginner,,,Coursera
gcp-infrastructure-scaling-automation,Elastic Google Cloud Infrastructure: Scaling and Automation,4.6,57000.0,,,,Coursera
finanzas-empresariales,Fundamentos de Finanzas Empresariales,4.9,110000.0,Beginner,,,Coursera
gte-sustainable-cities,Greening the Economy: Sustainable Cities,4.6,56000.0,,,,Coursera
engineering-mechanics-statics,Introduction to Engineering Mechanics,4.8,150000.0,All,,,Coursera
design-strategy,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,4.6,19000.0,Intermediate,,,Coursera
bioinformatics,Biology Meets Programming: Bioinformatics for Beginners,4.1,88000.0,Beginner,,,Coursera
medical-research,Understanding Medical Research: Your Facebook Friend is Wrong,4.9,24000.0,Beginner,,,Coursera
mindshift,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,4.8,230000.0,Beginner,,,Coursera
programming-fundamentals,Programming Fundamentals,4.6,19000.0,,,,Coursera
painting,In the Studio: Postwar Abstract Painting,4.9,79000.0,Beginner,,,Coursera
drug-commercialization,Drug Commercialization,4.6,17000.0,,,,Coursera
norms,"Social Norms, Social Change I",4.6,78000.0,Beginner,,,Coursera
excel-intermediate-2,Excel Skills for Business: Intermediate II,4.7,39000.0,,,,Coursera
aboriginal-education,Aboriginal Worldviews and Education,4.6,66000.0,,,,Coursera
writing-for-business,Business Writing,4.8,48000.0,,,,Coursera
autodesk-autocad-design-drafting,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,4.7,22000.0,,,,Coursera
typography,Introduction to Typography,4.8,72000.0,,,,Coursera
customer-segmentation-prospecting,Customer Segmentation and Prospecting,4.7,18000.0,,,,Coursera
journalism,English for Journalism,4.8,130000.0,All,,,Coursera
how-things-work,How Things Work: An Introduction to Physics,4.8,170000.0,Intermediate,English,Physics and Astronomy,Coursera
how-things-work,How Things Work: An Introduction to Physics,4.8,170000.0,Intermediate,English,Physics and Astronomy,Coursera
business-english-intro,Business English: Networking,4.8,77000.0,,,,Coursera
summary-statistics,Summary Statistics in Public Health,4.8,11000.0,,,,Coursera
changing-global-order,The Changing Global Order,,23000.0,,,,Coursera
