course_title,num_subscribers,level,category,language,price,content_duration,add_certificate,price_Certificate,is_paid,plataforma
"CitiesX: The Past, Present and Future of Urban Life",76874,Beginner,Social Sciences,English,0,1848,Si,99,No,edX
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Beginner,Philosophy & Ethics,English,0,2184,Si,99,No,edX
Entrepreneurship 101: Who is your customer?,41838,Beginner,Business & Management,English,0,1680,Si,49,No,edX
"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Beginner,Social Sciences,English,0,672,Si,49,No,edX
Machine Learning with Python: from Linear Models to Deep Learning,85561,Expert,Computer Science,English,0,2520,Si,300,No,edX
Introduction to Data Science,43766,Beginner,Data Analysis & Statistics,English,0,1008,Si,39,No,edX
Circuits and Electronics 1: Basic Circuit Analysis,52639,Beginner,Electronics,English,0,840,Si,169,No,edX
Introduction to Investments,91788,Intermediate,Business & Management,English,0,840,Si,50,No,edX
Improving Your Business Through a Culture of Health,54136,Beginner,Business & Management,English,0,1512,Si,99,No,edX
Introduction to Linear Models and Matrix Algebra,92004,Intermediate,Math,English,0,672,Si,149,No,edX
DO Your Venture: Entrepreneurship For Everyone,61989,Beginner,Business & Management,English,0,1008,Si,150,No,edX
El valor de la creatividad y la innovación: La Economía Naranja,23728,Beginner,Art & Culture,Spanish,0,1344,Si,25,No,edX
Humanitarian Response to Conflict and Disaster,119891,Beginner,Health & Safety,English,0,840,Si,99,No,edX
"Women Making History: Ten Objects, Many Stories",38939,Beginner,History,English,0,1344,Si,99,No,edX
Masterpieces of World Literature,88789,Beginner,Literature,English,0,2016,Si,149,No,edX
SQL for Data Science,39184,Beginner,Data Analysis & Statistics,English,0,672,Si,39,No,edX
El cerebro y las emociones en el lenguaje,41279,Beginner,Communication,Spanish,0,840,Si,49,No,edX
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673,Beginner,Physics,English,0,2688,Si,169,No,edX
Python: aprender a programar,21613,Beginner,Computer Science,Spanish,0,1344,Si,49,No,edX
Marketing Analytics: Competitive Analysis and Market Segmentation,70682,Intermediate,Computer Science,English,0,672,Si,249,No,edX
MalariaX: Defeating Malaria from the Genes to the Globe,37598,Intermediate,Biology & Life Sciences,English,0,1344,Si,49,No,edX
Entrepreneurship in Emerging Economies,113602,Beginner,Business & Management,English,0,1008,Si,125,No,edX
JavaScript Introduction,160112,Beginner,Computer Science,English,0,840,Si,199,No,edX
People Management,113592,Beginner,Business & Management,English,0,1008,Si,150,No,edX
Using Email for Networking in English,57208,Beginner,Language,English,0,672,Si,149,No,edX
Databases: Relational Databases and SQL,20502,Beginner,Computer Science,English,0,336,Si,50,No,edX
C Programming: Getting Started,104108,Beginner,Computer Science,English,0,1176,Si,49,No,edX
Supply Chain Analytics,145049,Beginner,Business & Management,English,0,2520,Si,199,No,edX
Programming for the Web with JavaScript,91406,Intermediate,Computer Science,English,0,672,Si,149,No,edX
Introduction to Digital Humanities,37501,Beginner,Humanities,English,0,1176,Si,99,No,edX
Upper-Intermediate English: Business and Industry,103704,Intermediate,Language,English,0,672,Si,50,No,edX
EmSAT English Preparation - Level 1,29101,Beginner,Language,English,0,1008,Si,49,No,edX
Python for Data Science,266978,Expert,Data Analysis & Statistics,English,0,1680,Si,350,No,edX
Empathy and Emotional Intelligence at Work,45867,Beginner,Business & Management,English,0,672,Si,199,No,edX
Design Thinking and Creativity for Innovation,47549,Intermediate,Business & Management,English,0,1680,Si,5,No,edX
China and Communism,69104,Beginner,History,English,0,2520,Si,139,No,edX
Mandarin Chinese Level 1,56040,Beginner,Language,English,0,1008,Si,149,No,edX
Introduction to Biology - The Secret of Life,147512,Beginner,Biology & Life Sciences,English,0,2688,Si,150,No,edX
Photoshop: una herramienta para presentaciones innovadoras,22969,Beginner,Art & Culture,Spanish,0,840,Si,19,No,edX
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949,Beginner,Data Analysis & Statistics,English,0,1512,Si,99,No,edX
生活英语听说 | Conversational English Skills,301585,Beginner,Communication,English,0,1680,Si,49,No,edX
Shakespeare’s Othello: The Moor,31868,Beginner,Humanities,English,0,672,Si,49,No,edX
Basic Spanish 2: One Step Further,67687,Beginner,Language,English,0,672,Si,50,No,edX
Financial Market Analysis,37452,Intermediate,Economics & Finance,English,0,1176,Si,25,No,edX
CS50's Computer Science for Business Professionals,73208,Beginner,Computer Science,English,0,1008,Si,90,No,edX
Gobierno Digital,18883,Beginner,Social Sciences,Spanish,0,1344,Si,25,No,edX
Upper-Intermediate English: Business and Globalization,58532,Intermediate,Language,English,0,672,Si,50,No,edX
The Opioid Crisis in America,54805,Beginner,Medicine,English,0,1680,Si,99,No,edX
Gestión de Proyectos de Desarrollo,306286,Beginner,Business & Management,Spanish,0,1680,Si,49,No,edX
Statistical Learning,27968,Beginner,Data Analysis & Statistics,English,0,1512,Si,50,No,edX
Introduction to Social Psychology,79365,Beginner,Humanities,English,0,1176,Si,99,No,edX
Artificial Intelligence (AI),265104,Expert,Computer Science,English,0,2016,Si,249,No,edX
American Government: Constitutional Foundations,35504,Beginner,Social Sciences,English,0,672,Si,49,No,edX
Introducción a la inversión bursátil,64261,Beginner,Economics & Finance,Spanish,0,336,Si,50,No,edX
Japanese Books: From Manuscript to Print,17581,Beginner,Art & Culture,English,0,1512,Si,100,No,edX
Foundations of Modern Finance  I,24108,Expert,Economics & Finance,English,0,2016,Si,450,No,edX
Operations Management,126093,Intermediate,Business & Management,English,0,1176,Si,150,No,edX
Marketing Management,80010,Intermediate,Business & Management,English,0,1512,Si,150,No,edX
Marketing enfocado en la estrategia de servicios,24618,Beginner,Business & Management,Spanish,0,1008,Si,119,No,edX
Introduction to Marketing,169126,Beginner,Business & Management,English,0,1008,Si,150,No,edX
Programming Basics,215059,Beginner,Computer Science,English,0,1512,Si,149,No,edX
Probability and Statistics in Data Science using Python,106286,Expert,Data Analysis & Statistics,English,0,1680,Si,350,No,edX
HTML5 Coding Essentials and Best Practices,241287,Intermediate,Computer Science,English,0,1008,Si,199,No,edX
First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,37426,Beginner,Humanities,English,0,504,Si,49,No,edX
Cell Biology: Mitochondria,64142,Beginner,Biology & Life Sciences,English,0,672,Si,99,No,edX
"Algorithms: Design and Analysis, Part 1",20163,Intermediate,Computer Science,English,0,1008,Si,149,No,edX
Introducción al Office 365,16470,Beginner,Computer Science,Spanish,0,1176,Si,75,No,edX
Creative Thinking: Techniques and Tools for Success,54787,Beginner,Humanities,English,0,1176,Si,49,No,edX
Upper-Intermediate English: Business and Technology,47451,Intermediate,Language,English,0,672,Si,50,No,edX
Shakespeare's Hamlet: The Ghost,38331,Beginner,Humanities,English,0,672,Si,49,No,edX
FlashDiet: Aprende a comer sano,48105,Beginner,Food & Nutrition,Spanish,0,840,Si,50,No,edX
CS50's Understanding Technology,50030,Beginner,Computer Science,English,0,1008,Si,90,No,edX
Introduction to Aerospace Structures and Materials,37126,Beginner,Engineering,English,0,1344,Si,50,No,edX
Visualizing Data with Python,42101,Intermediate,Data Analysis & Statistics,English,0,840,Si,39,No,edX
Success: Practical Thinking Skills,24414,Beginner,Philosophy & Ethics,English,0,672,Si,50,No,edX
English for Doing Business in Asia – Speaking,68422,Beginner,Humanities,English,0,1176,Si,60,No,edX
Nutrition and Health: Macronutrients and Overnutrition,208582,Beginner,Biology & Life Sciences,English,0,1512,Si,99,No,edX
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",66771,Beginner,History,English,0,2520,Si,139,No,edX
Introduction to Clinical Psychology,57234,Beginner,Humanities,English,0,1176,Si,99,No,edX
Modern Masterpieces of World Literature,48049,Beginner,Literature,English,0,1344,Si,99,No,edX
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",24259,Beginner,Social Sciences,English,0,672,Si,49,No,edX
Applied Scrum for Agile Project Management,55293,Expert,Engineering,English,0,672,Si,199,No,edX
Corporate Finance,62798,Intermediate,Business & Management,English,0,840,Si,150,No,edX
Judaism Through Its Scriptures,50540,Beginner,Humanities,English,0,672,Si,99,No,edX
Excel avanzado: importación y análisis de datos,47184,Expert,Data Analysis & Statistics,Spanish,0,1344,Si,75,No,edX
CSS Basics,95163,Beginner,Computer Science,English,0,840,Si,199,No,edX
Unlocking Information Security: Part I,19905,Intermediate,Computer Science,English,0,1008,Si,149,No,edX
Becoming an Effective Leader,55937,Intermediate,Communication,English,0,1680,Si,99,No,edX
Digital Branding and Engagement,122977,Intermediate,Communication,English,0,672,Si,99,No,edX
