Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,Si,90,4022,Expert,1.0,3.6,English,Finance & Accounting,2016,361980,Udemy
777444,Corporate Finance - A Brief Introduction,No,0,11724,Beginner,1.5,4.3,English,Finance & Accounting,2016,0,Udemy
474238,Excel functions to analyze and visualize data,Si,20,2283,Intermediate,2.0,4.6,English,Office Productivity,2015,45660,Udemy
1245244,Building Financial Statements in Excel,Si,35,1181,Beginner,1.0,4.6,English,Finance & Accounting,2017,41335,Udemy
262370,Accounting: Get Hired Without Work Experience,Si,100,4661,All,1.0,3.7,English,Finance & Accounting,2014,466100,Udemy
824592,Basic Bookkeeping Hacks,Si,20,5841,All,1.5,3.6,English,Finance & Accounting,2016,116820,Udemy
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",Si,60,1922,All,20.0,4.3,English,Finance & Accounting,2016,115320,Udemy
252396,How to Pick The Right Penny Stocks To Invest In 2017,Si,150,9015,All,2.5,4.0,English,Finance & Accounting,2014,1352250,Udemy
920604,Intro to Financial Modeling,Si,105,1077,Beginner,6.0,4.5,English,Finance & Accounting,2016,113085,Udemy
215728,Shark Accounting - Building a Business by the Numbers!,Si,20,6050,Beginner,1.5,4.4,English,Finance & Accounting,2014,121000,Udemy
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,Si,150,3523,All,4.0,4.7,English,Finance & Accounting,2016,528450,Udemy
48841,Accounting in 60 Minutes - A Brief Introduction,No,0,56659,Beginner,1.5,4.5,English,Finance & Accounting,2013,0,Udemy
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,Si,100,1444,Beginner,5.0,4.2,English,Finance & Accounting,2016,144400,Udemy
317030,Learn how to double your Forex Trading Account in one trade,Si,60,2900,Intermediate,2.5,3.9,English,Finance & Accounting,2014,174000,Udemy
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",Si,200,1437,Beginner,2.5,4.7,English,Finance & Accounting,2016,287400,Udemy
812616,Save on Your Taxes,Si,20,2437,All,1.5,3.8,English,Finance & Accounting,2016,48740,Udemy
